rank,mark,athlete,country,date_of_birth,race_position,venue,result_date,mark_seconds,result_year,decade,age_at_race
1,3:48.68,Faith Kipyegon,KEN,1994-01-10,1,Eugene,2025-07-05,228.68,2025,2020,31.482546201232033
2,3:49.04,Faith Kipyegon,KEN,1994-01-10,1,Paris,2024-07-07,229.04,2024,2020,30.48870636550308
3,3:49.11,Faith Kipyegon,KEN,1994-01-10,1,Firenze,2023-06-02,229.11,2023,2020,29.39082819986311
4,3:50.07,Genzebe Dibaba,ETH,1991-02-08,1,Monaco,2015-07-17,230.07,2015,2010,24.435318275154003
5,3:50.30,Gudaf Tsegay,ETH,1997-06-23,1,Xiamen,2024-04-20,230.3,2024,2020,26.82546201232033
6,3:50.37,Faith Kipyegon,KEN,1994-01-10,1,Monaco,2022-08-10,230.37,2022,2020,28.580424366872005
7,3:50.46,Qu Yunxia,CHN,1972-12-25,1,Beijing,1993-09-11,230.46,1993,1990,20.711841204654345
8,3:50.62,Gudaf Tsegay,ETH,1997-06-23,1,Chorzów,2025-08-16,230.62,2025,2020,28.147843942505133
9,3:50.72,Faith Kipyegon,KEN,1994-01-10,1,Eugene,2023-09-16,230.72,2023,2020,29.68104038329911
10,3:50.83,Jessica Hull,AUS,1996-10-22,2,Paris,2024-07-07,230.82999999999998,2024,2020,27.707049965776864
11,3:50.98,Jiang Bo,CHN,1977-03-13,1,Shanghai,1997-10-18,230.98,1997,1990,20.59958932238193
12,3:51.07,Faith Kipyegon,KEN,1994-01-10,1,Monaco,2021-07-09,231.07,2021,2020,27.49349760438056
13,3:51.29,Faith Kipyegon,KEN,1994-01-10,1,Saint-Denis,2024-08-10,231.29,2024,2020,30.581793292265573
14,3:51.34,Lang Yinglai,CHN,1979-08-22,2,Shanghai,1997-10-18,231.34,1997,1990,18.157426420260094
15,3:51.41+,Faith Kipyegon,KEN,1994-01-10,1,Monaco,2023-07-21,231.41,2023,2020,29.52498288843258
16,3:51.92,Wang Junxia,CHN,1973-01-09,2,Beijing,1993-09-11,231.92000000000002,1993,1990,20.670773442847366
17,3:51.95,Sifan Hassan,NED,1993-01-01,1,Ad-Dawhah,2019-10-05,231.95,2019,2010,26.757015742642025
18,3:52.15,Faith Kipyegon,KEN,1994-01-10,1,Tokyo,2025-09-16,232.15,2025,2020,31.682409308692677
19,3:52.47,Tatyana Kazankina,RUS,1951-12-17,1,Zürich,1980-08-13,232.47,1980,1980,28.657084188911703
20,3:52.56,Jessica Hull,AUS,1996-10-22,2,Saint-Denis,2024-08-10,232.56,2024,2020,27.800136892539356
21,3:52.59,Faith Kipyegon,KEN,1994-01-10,1,Eugene,2022-05-28,232.59,2022,2020,28.37782340862423
22,3:52.61,Georgia Hunter Bell,GBR,1993-10-17,3,Saint-Denis,2024-08-10,232.61,2024,2020,30.8145106091718
23,3:52.67,Jessica Hull,AUS,1996-10-22,2,Eugene,2025-07-05,232.67000000000002,2025,2020,28.700889801505816
24,3:52.75,Diribe Welteji,ETH,2002-05-13,4,Saint-Denis,2024-08-10,232.75,2024,2020,22.245037645448324
25,3:52.89,Faith Kipyegon,KEN,1994-01-10,1,Roma,2024-08-30,232.89,2024,2020,30.636550308008214
26,3:52.96,Faith Kipyegon,KEN,1994-01-10,1,Eugene,2022-07-18,232.96,2022,2020,28.517453798767967
27,3:53.11,Faith Kipyegon,KEN,1994-01-10,1,Tokyo,2021-08-06,233.11,2021,2020,27.57015742642026
28,3:53.22,Birke Haylom,ETH,2006-01-06,2,Xiamen,2024-04-20,233.22,2024,2020,18.286105407255306
29,3:53.23,Faith Kipyegon,KEN,1994-01-10,1,Eugene,2021-08-21,233.23,2021,2020,27.61122518822724
30,3:53.37,Laura Muir,GBR,1993-05-09,5,Saint-Denis,2024-08-10,233.37,2024,2020,31.255304585900067
31,3:53.60,Sifan Hassan,NED,1993-01-01,2,Monaco,2021-07-09,233.6,2021,2020,28.517453798767967
32,3:53.63,Sifan Hassan,NED,1993-01-01,1,Firenze,2021-06-10,233.63,2021,2020,28.438056125941138
33,3:53.75,Diribe Welteji,ETH,2002-05-13,1,Eugene,2024-05-25,233.75,2024,2020,22.034223134839152
34,3:53.79,Laura Muir,GBR,1993-05-09,3,Paris,2024-07-07,233.79,2024,2020,31.16221765913758
35,3:53.91,Yin Lili,CHN,1979-11-11,3,Shanghai,1997-10-18,233.91,1997,1990,17.935660506502394
35,3:53.91,Faith Kipyegon,KEN,1994-01-10,2,Firenze,2021-06-10,233.91,2021,2020,27.41409993155373
37,3:53.93,Diribe Welteji,ETH,2002-05-13,2,Eugene,2023-09-16,233.93,2023,2020,21.34428473648186
38,3:53.96,Paula Ivan,ROU,1963-07-20,1,Seoul,1988-10-01,233.96,1988,1980,25.201916495550993
39,3:53.97,Lan Lixin,CHN,1979-02-14,4,Shanghai,1997-10-18,233.97,1997,1990,18.67488021902806
40,3:53.98A,Faith Kipyegon,KEN,1994-01-10,1,Nairobi,2024-06-15,233.98,2024,2020,30.428473648186174
41,3:54.01,Gudaf Tsegay,ETH,1997-06-23,1,Chorzów,2021-06-20,234.01,2021,2020,23.991786447638603
42,3:54.03,Gudaf Tsegay,ETH,1997-06-23,1,Rabat,2023-05-28,234.03,2023,2020,25.927446954141
43,3:54.11,Genzebe Dibaba,ETH,1991-02-08,1,Barcelona,2015-07-08,234.11,2015,2010,24.410677618069816
44,3:54.16,Freweyni Hailu,ETH,2001-02-12,2,Roma,2024-08-30,234.16,2024,2020,23.54551676933607
45,3:54.22,Faith Kipyegon,KEN,1994-01-10,2,Ad-Dawhah,2019-10-05,234.22,2019,2010,25.73305954825462
46,3:54.23,Olga Dvirna,RUS,1953-02-11,1r1,Kyiv,1982-07-27,234.23,1982,1980,29.453798767967147
47,3:54.32,Gudaf Tsegay,ETH,1997-06-23,2,Eugene,2022-05-28,234.32,2022,2020,24.928131416837783
48,3:54.38,Gudaf Tsegay,ETH,1997-06-23,3,Ad-Dawhah,2019-10-05,234.38,2019,2010,22.28336755646817
49,3:54.50,Laura Muir,GBR,1993-05-09,2,Tokyo,2021-08-06,234.5,2021,2020,28.243668720054757
50,3:54.52,Zhang Ling,CHN,1980-04-13,5,Shanghai,1997-10-18,234.52,1997,1990,17.51403148528405
50,3:54.52,Gudaf Tsegay,ETH,1997-06-23,2,Eugene,2022-07-18,234.52,2022,2020,25.06776180698152
52,3:54.73,Beatrice Chebet,KEN,2000-03-05,2,Chorzów,2025-08-16,234.73,2025,2020,25.44832306639288
53,3:54.75,Faith Kipyegon,KEN,1994-01-10,1,Bruxelles,2024-09-14,234.75,2024,2020,30.677618069815196
53,3:54.75+,Gudaf Tsegay,ETH,1997-06-23,1,London,2025-07-19,234.75,2025,2020,28.071184120465436
55,3:54.76,Georgia Hunter Bell,GBR,1993-10-17,3,Eugene,2025-07-05,234.76,2025,2020,31.71526351813826
