athlete,age,time_seconds
A01,17,239.85
A01,19,237.01
A01,22,235.25
A01,24,235.22
A01,25,232.58
A01,26,232.8
A01,27,233.21
A01,28,234.0
A01,29,233.38
A01,30,234.68
A01,32,234.37
A01,34,236.51
A01,35,237.18
A02,19,236.01
A02,21,236.09
A02,22,233.22
A02,23,233.3
A02,24,233.68
A02,27,233.79
A02,28,233.69
A02,29,233.12
A02,30,234.67
A02,32,235.06
A03,20,240.41
A03,21,238.81
A03,22,238.45
A03,24,237.23
A03,25,236.16
A03,26,235.67
A03,27,235.62
A03,28,236.33
A03,29,235.97
A03,30,236.32
A03,31,237.91
A03,32,237.8
A04,18,238.7
A04,19,236.75
A04,21,236.54
A04,22,235.36
A04,23,234.79
A04,25,234.51
A04,26,234.59
A04,28,234.5
A04,29,235.07
A04,32,235.0
A04,33,237.11
A04,34,237.43
A05,17,244.16
A05,18,242.52
A05,19,242.52
A05,20,241.35
A05,27,238.47
A05,28,237.79
A05,29,239.17
A05,30,240.0
A05,31,238.31
A05,32,240.64
A06,19,235.66
A06,20,235.68
A06,21,234.7
A06,23,233.79
A06,24,233.79
A06,25,233.77
A06,26,232.35
A06,27,232.6
A06,28,231.98
A06,30,232.95
A06,32,232.92
A06,33,234.98
A06,34,235.95
A07,17,240.53
A07,18,241.64
A07,20,237.86
A07,21,237.78
A07,22,235.78
A07,23,236.03
A07,24,235.42
A07,26,235.97
A07,27,233.42
A07,32,236.95
A08,19,238.18
A08,21,235.8
A08,22,234.64
A08,23,234.64
A08,25,234.87
A08,26,233.67
A08,27,232.22
A08,28,234.4
A08,29,233.17
A08,31,233.93
A08,33,236.41
A09,18,237.99
A09,20,237.19
A09,23,235.22
A09,24,233.71
A09,26,233.62
A09,28,234.06
A09,29,234.72
A09,30,235.27
A09,31,234.53
A10,18,240.15
A10,19,238.18
A10,20,238.68
A10,21,237.56
A10,22,237.62
A10,23,235.77
A10,24,235.52
A10,25,235.75
A10,27,234.12
A10,28,234.93
A10,30,233.79
A10,31,235.63
A10,32,236.45
A10,33,236.31
A10,34,238.43
