mark_seconds,age_at_race
239.35,36.3
239.7,28.3
239.75,36.4
239.94,36.4
240.32,29.7
240.38,32.9
240.53,28.3
240.57,25.7
240.67,28.4
240.8,36.4
240.92,36.3
240.94,29.7
241.26,29.6
241.31,29.7
241.45,36.3
241.55,36.3
241.55,28.4
241.68,25.2
241.7,36.4
241.84,28.2
242.03,28.2
242.16,23.5
242.4,28.3
242.45,31.8
242.64,32.9
242.76,29.3
243.1,32.9
243.2,31.1
243.24,37.0
243.31,25.9
243.42,25.3
243.46,36.5
243.51,27.9
243.51,24.6
243.54,28.4
243.6,32.9
243.61,35.9
243.87,20.0
243.96,26.0
243.96,29.7
243.98,27.5
244.11,29.2
244.2,28.4
244.23,28.4
244.26,33.3
244.27,24.1
244.41,29.7
244.43,28.6
244.44,25.2
244.45,29.2
244.45,29.2
244.48,22.7
244.54,31.8
244.6,33.3
244.61,24.6
244.64,23.6
244.73,31.9
244.78,25.2
244.79,29.6
244.85,37.8
244.89,23.6
245.02,27.6
245.07,28.3
245.1,24.1
245.1,24.6
245.16,28.2
245.16,24.6
245.25,28.7
245.29,25.4
245.37,27.5
245.38,25.5
245.39,31.2
245.44,28.4
245.48,27.9
245.57,28.6
245.6,28.0
245.63,28.1
245.73,37.0
245.74,28.9
245.75,22.5
245.83,28.3
245.9,28.1
245.98,28.5
246.0,27.8
246.0,24.9
246.01,18.1
246.03,28.2
246.04,31.1
246.08,28.8
246.12,37.8
246.13,27.9
246.18,28.2
246.21,29.3
246.21,28.7
246.22,34.9
246.24,31.8
246.31,32.4
246.31,29.5
246.32,22.1
246.34,31.2
246.34,26.3
246.42,37.0
246.43,36.2
246.48,28.4
246.5,28.4
246.52,24.5
246.55,36.3
246.56,25.2
246.59,29.2
246.6,19.9
246.61,32.9
246.64,28.5
246.68,20.6
246.69,37.9
246.7,24.5
246.71,29.4
246.75,28.1
246.85,18.1
246.86,31.7
246.91,23.0
246.92,25.7
246.93,32.8
246.93,18.0
246.94,31.7
246.96,24.9
247.06,21.8
247.1,22.2
247.13,18.0
247.14,25.6
247.22,28.2
247.25,23.2
247.25,21.7
247.31,23.9
247.33,28.5
247.37,23.1
247.4,25.7
247.44,18.1
247.44,17.9
247.45,28.4
247.47,28.3
247.49,19.9
247.51,28.1
247.56,27.5
247.65,31.1
247.7,22.8
247.72,24.8
247.74,28.5
247.77,27.5
247.83,28.3
247.89,23.7
247.95,22.4
247.97,22.9
248.05,18.3
248.09,28.3
248.09,24.4
248.11,24.5
248.12,21.1
248.14,24.9
248.15,27.5
248.16,30.7
248.17,22.9
248.18,28.5
248.22,24.5
248.27,26.9
248.3,27.3
248.35,24.9
248.35,25.9
248.36,28.4
248.37,26.3
248.37,24.5
248.42,23.5
248.42,23.6
248.49,30.7
248.49,36.7
248.49,22.2
248.55,21.2
248.55,24.0
248.55,30.7
248.57,28.5
248.58,28.6
248.72,29.1
248.75,28.3
248.79,29.7
248.8,21.5
248.84,28.6
248.84,28.4
248.84,24.8
248.89,33.0
248.91,16.7
248.93,28.2
248.94,20.3
248.98,26.5
248.98,31.6
249.03,28.8
249.04,30.8
249.06,37.0
249.1,28.2
249.11,27.8
249.12,23.1
249.17,28.4
249.2,31.1
249.22,27.5
249.25,26.4
249.25,26.5
249.26,26.1
249.28,31.0
249.31,28.3
249.33,27.4
249.35,27.8
249.36,23.6
249.39,27.3
249.43,27.1
249.45,33.3
249.46,22.6
249.46,24.5
249.52,36.9
