rank,mark,athlete,country,date_of_birth,race_position,venue,result_date
1,3:48.68,Faith Kipyegon,KEN,10.01.94,1,Eugene,05.07.2025
2,3:49.04,Faith Kipyegon,KEN,10.01.94,1,Paris,07.07.2024
3,3:49.11,Faith Kipyegon,KEN,10.01.94,1,Firenze,02.06.2023
4,3:50.07,Genzebe Dibaba,ETH,08.02.91,1,Monaco,17.07.2015
5,3:50.30,Gudaf Tsegay,ETH,23.06.97,1,Xiamen,20.04.2024
6,3:50.37,Faith Kipyegon,KEN,10.01.94,1,Monaco,10.08.2022
7,3:50.46,Qu Yunxia,CHN,25.12.72,1,Beijing,11.09.1993
8,3:50.62,Gudaf Tsegay,ETH,23.06.97,1,Chorzów,16.08.2025
9,3:50.72,Faith Kipyegon,KEN,10.01.94,1,Eugene,16.09.2023
10,3:50.83,Jessica Hull,AUS,22.10.96,2,Paris,07.07.2024
11,3:50.98,Jiang Bo,CHN,13.03.77,1,Shanghai,18.10.1997
12,3:51.07,Faith Kipyegon,KEN,10.01.94,1,Monaco,09.07.2021
13,3:51.29,Faith Kipyegon,KEN,10.01.94,1,Saint-Denis,10.08.2024
14,3:51.34,Lang Yinglai,CHN,22.08.79,2,Shanghai,18.10.1997
15,3:51.41+,Faith Kipyegon,KEN,10.01.94,1,Monaco,21.07.2023
16,3:51.92,Wang Junxia,CHN,09.01.73,2,Beijing,11.09.1993
17,3:51.95,Sifan Hassan,NED,01.01.93,1,Ad-Dawhah,05.10.2019
18,3:52.15,Faith Kipyegon,KEN,10.01.94,1,Tokyo,16.09.2025
19,3:52.47,Tatyana Kazankina,RUS,17.12.51,1,Zürich,13.08.1980
20,3:52.56,Jessica Hull,AUS,22.10.96,2,Saint-Denis,10.08.2024
21,3:52.59,Faith Kipyegon,KEN,10.01.94,1,Eugene,28.05.2022
22,3:52.61,Georgia Hunter Bell,GBR,17.10.93,3,Saint-Denis,10.08.2024
23,3:52.67,Jessica Hull,AUS,22.10.96,2,Eugene,05.07.2025
24,3:52.75,Diribe Welteji,ETH,13.05.02,4,Saint-Denis,10.08.2024
25,3:52.89,Faith Kipyegon,KEN,10.01.94,1,Roma,30.08.2024
26,3:52.96,Faith Kipyegon,KEN,10.01.94,1,Eugene,18.07.2022
27,3:53.11,Faith Kipyegon,KEN,10.01.94,1,Tokyo,06.08.2021
28,3:53.22,Birke Haylom,ETH,06.01.06,2,Xiamen,20.04.2024
29,3:53.23,Faith Kipyegon,KEN,10.01.94,1,Eugene,21.08.2021
30,3:53.37,Laura Muir,GBR,09.05.93,5,Saint-Denis,10.08.2024
31,3:53.60,Sifan Hassan,NED,01.01.93,2,Monaco,09.07.2021
32,3:53.63,Sifan Hassan,NED,01.01.93,1,Firenze,10.06.2021
33,3:53.75,Diribe Welteji,ETH,13.05.02,1,Eugene,25.05.2024
34,3:53.79,Laura Muir,GBR,09.05.93,3,Paris,07.07.2024
35,3:53.91,Yin Lili,CHN,11.11.79,3,Shanghai,18.10.1997
35,3:53.91,Faith Kipyegon,KEN,10.01.94,2,Firenze,10.06.2021
37,3:53.93,Diribe Welteji,ETH,13.05.02,2,Eugene,16.09.2023
38,3:53.96,Paula Ivan,ROU,20.07.63,1,Seoul,01.10.1988
39,3:53.97,Lan Lixin,CHN,14.02.79,4,Shanghai,18.10.1997
40,3:53.98A,Faith Kipyegon,KEN,10.01.94,1,Nairobi,15.06.2024
41,3:54.01,Gudaf Tsegay,ETH,23.06.97,1,Chorzów,20.06.2021
42,3:54.03,Gudaf Tsegay,ETH,23.06.97,1,Rabat,28.05.2023
43,3:54.11,Genzebe Dibaba,ETH,08.02.91,1,Barcelona,08.07.2015
44,3:54.16,Freweyni Hailu,ETH,12.02.01,2,Roma,30.08.2024
45,3:54.22,Faith Kipyegon,KEN,10.01.94,2,Ad-Dawhah,05.10.2019
46,3:54.23,Olga Dvirna,RUS,11.02.53,1r1,Kyiv,27.07.1982
47,3:54.32,Gudaf Tsegay,ETH,23.06.97,2,Eugene,28.05.2022
48,3:54.38,Gudaf Tsegay,ETH,23.06.97,3,Ad-Dawhah,05.10.2019
49,3:54.50,Laura Muir,GBR,09.05.93,2,Tokyo,06.08.2021
50,3:54.52,Zhang Ling,CHN,13.04.80,5,Shanghai,18.10.1997
50,3:54.52,Gudaf Tsegay,ETH,23.06.97,2,Eugene,18.07.2022
52,3:54.73,Beatrice Chebet,KEN,05.03.00,2,Chorzów,16.08.2025
53,3:54.75,Faith Kipyegon,KEN,10.01.94,1,Bruxelles,14.09.2024
53,3:54.75+,Gudaf Tsegay,ETH,23.06.97,1,London,19.07.2025
55,3:54.76,Georgia Hunter Bell,GBR,17.10.93,3,Eugene,05.07.2025
56,3:54.79,Birke Haylom,ETH,06.01.06,3,Roma,30.08.2024
57,3:54.87,Hirut Meshesha,ETH,20.01.01,1,Chorzów,16.07.2023
57,3:54.87,Faith Kipyegon,KEN,10.01.94,1,Budapest,22.08.2023
59,3:54.92,Dorcus Ewoi,KEN,02.10.96,2,Tokyo,16.09.2025
60,3:54.93,Birke Haylom,ETH,06.01.06,3,Chorzów,16.07.2023
61,3:54.98,Jessica Hull,AUS,22.10.96,4,Roma,30.08.2024
62,3:54.99,Shelby Houlihan,USA,08.02.93,4,Ad-Dawhah,05.10.2019
63,3:55.0,Tatyana Kazankina,RUS,17.12.51,1,Moskva,06.07.1980
64,3:55.01,Lan Lixin,CHN,14.02.79,1h2,Shanghai,17.10.1997
65,3:55.07,Dong Yanmei,CHN,16.02.77,6,Shanghai,18.10.1997
66,3:55.08,Diribe Welteji,ETH,13.05.02,3,Chorzów,16.07.2023
67,3:55.10,Diribe Welteji,ETH,13.05.02,1s2,Saint-Denis,08.08.2024
68,3:55.14,Faith Kipyegon,KEN,10.01.94,1s2,Budapest,20.08.2023
69,3:55.16,Laura Muir,GBR,09.05.93,3,Eugene,16.09.2023
69,3:55.16,Jessica Hull,AUS,22.10.96,3,Tokyo,16.09.2025
71,3:55.18,Diribe Welteji,ETH,13.05.02,2s2,Budapest,20.08.2023
72,3:55.22,Laura Muir,GBR,09.05.93,1,Saint-Denis,27.08.2016
73,3:55.25,Diribe Welteji,ETH,13.05.02,1,Westwood,18.05.2024
73,3:55.25,Diribe Welteji,ETH,13.05.02,2,Bruxelles,14.09.2024
73,3:55.25,Nelly Chepchirchir,KEN,04.06.03,4,Tokyo,16.09.2025
76,3:55.30,Hassiba Boulmerka,ALG,10.07.68,1,Barcelona,08.08.1992
76,3:55.30+,Sifan Hassan,NED,01.01.93,1,Monaco,12.07.2019
78,3:55.33,Süreyya Ayhan-Kop,TUR,06.09.78,1,Bruxelles,05.09.2003
78,3:55.33,Dominique Hiltz,USA,23.10.94,1,Eugene,30.06.2024
80,3:55.34,Laura Muir,GBR,09.05.93,1,Bruxelles,08.09.2023
81,3:55.38,Qu Yunxia,CHN,25.12.72,2h2,Shanghai,17.10.1997
81,3:55.38,Laura Muir,GBR,09.05.93,3,Eugene,18.07.2022
83,3:55.40,Jessica Hull,AUS,22.10.96,2s2,Saint-Denis,08.08.2024
84,3:55.47,Zhang Ling,CHN,13.04.80,3h2,Shanghai,17.10.1997
84,3:55.47,Genzebe Dibaba,ETH,08.02.91,1,Rabat,16.06.2019
86,3:55.48,Sifan Hassan,NED,01.01.93,3s2,Budapest,20.08.2023
86,3:55.48,Freweyni Hailu,ETH,12.02.01,2,Westwood,18.05.2024
88,3:55.56,Birke Haylom,ETH,06.01.06,1,Shaoxing,16.05.2026
89,3:55.59,Laura Muir,GBR,09.05.93,3,Firenze,10.06.2021
90,3:55.60,Süreyya Ayhan-Kop,TUR,06.09.78,1,Zürich,15.08.2003
91,3:55.63,Georgia Hunter Bell,GBR,17.10.93,1,Paris,28.06.2026
92,3:55.64+,Jessica Hull,AUS,22.10.96,2,London,19.07.2025
93,3:55.68,Yuliya Chizhenko,RUS,30.08.79,1,Saint-Denis,08.07.2006
93,3:55.68,Freweyni Hailu,ETH,12.02.01,4,Eugene,16.09.2023
95,3:55.69,Diribe Welteji,ETH,13.05.02,2,Budapest,22.08.2023
96,3:55.71,Tsige Duguma,ETH,23.02.01,2,Shaoxing,16.05.2026
97,3:55.76,Laura Muir,GBR,09.05.93,5,Ad-Dawhah,05.10.2019
98,3:55.82,Dong Yanmei,CHN,16.02.77,4h2,Shanghai,17.10.1997
99,3:55.86,Sifan Hassan,NED,01.01.93,3,Tokyo,06.08.2021
100,3:55.87,Ciara Mageean,IRL,12.03.92,2,Bruxelles,08.09.2023
101,3:55.90,Emily MacKay,USA,30.04.98,2,Eugene,30.06.2024
102,3:55.92,Freweyni Hailu,ETH,12.02.01,2,Paris,28.06.2026
103,3:55.93,Sifan Hassan,NED,01.01.93,2,Rabat,16.06.2019
104,3:55.94,Dominique Hiltz,USA,23.10.94,1,Bruxelles,22.08.2025
105,3:55.96,Dominique Hiltz,USA,23.10.94,4,Eugene,05.07.2025
106,3:55.97,Jessica Hull,AUS,22.10.96,2,Eugene,25.05.2024
107,3:55.99,Elinor St. Pierre,USA,20.02.95,3,Eugene,30.06.2024
108,3:56.0,Tatyana Kazankina,RUS,17.12.51,1,Podolsk,28.06.1976
108,3:56.00,Sifan Hassan,NED,01.01.93,3,Budapest,22.08.2023
108,3:56.00,Elinor St. Pierre,USA,20.02.95,3,Eugene,25.05.2024
108,3:56.00,Georgia Hunter Bell,GBR,17.10.93,3,Chorzów,16.08.2025
112,3:56.05,Sifan Hassan,NED,01.01.93,2,Monaco,17.07.2015
113,3:56.07,Susan Ejore-Sanders,KEN,09.11.95,6,Saint-Denis,10.08.2024
114,3:56.10,Dominique Hiltz,USA,23.10.94,4,Chorzów,16.08.2025
115,3:56.12,Gabriela DeBues-Stafford,CAN,13.09.95,6,Ad-Dawhah,05.10.2019
115,3:56.12,Abbey Caldwell,AUS,03.07.01,3,Shaoxing,16.05.2026
117,3:56.14,Zamira Zaytseva,UZB,16.02.53,2r1,Kyiv,27.07.1982
117,3:56.14,Sifan Hassan,NED,01.01.93,1,Hengelo,11.06.2017
117,3:56.14,Nelly Chepchirchir,KEN,04.06.03,5,Roma,30.08.2024
120,3:56.17,Dominique Hiltz,USA,23.10.94,3s2,Saint-Denis,08.08.2024
121,3:56.18,Maryam Yusuf Jamal,BRN,16.09.84,1,Rieti,27.08.2006
122,3:56.22,Paula Ivan,ROU,20.07.63,1,Zürich,17.08.1988
122,3:56.22,Sifan Hassan,NED,01.01.93,1,Roma,08.06.2017
124,3:56.24,Agathe Guillemot,FRA,11.07.99,3,Paris,28.06.2026
125,3:56.28,Genzebe Dibaba,ETH,08.02.91,1,Roma,06.06.2019
125,3:56.28,Freweyni Hailu,ETH,12.02.01,3,Monaco,09.07.2021
127,3:56.29,Shannon Rowbury,USA,19.09.84,3,Monaco,17.07.2015
128,3:56.30,Freweyni Hailu,ETH,12.02.01,5,Chorzów,16.08.2025
129,3:56.31,Liu Dong,CHN,24.12.73,5h2,Shanghai,17.10.1997
130,3:56.33,Linden Hall,AUS,20.06.91,2,Bruxelles,22.08.2025
131,3:56.35,Laura Muir,GBR,09.05.93,4,Eugene,25.05.2024
132,3:56.36,Laura Muir,GBR,09.05.93,4s2,Budapest,20.08.2023
133,3:56.38,Dominique Hiltz,USA,23.10.94,7,Saint-Denis,10.08.2024
134,3:56.39,Linden Hall,AUS,20.06.91,6,Chorzów,16.08.2025
135,3:56.40,Linden Hall,AUS,20.06.91,4,Paris,07.07.2024
136,3:56.41,Faith Kipyegon,KEN,10.01.94,1,Eugene,28.05.2016
136,3:56.41,Gudaf Tsegay,ETH,23.06.97,4s2,Saint-Denis,08.08.2024
138,3:56.43,Yelena Soboleva,RUS,03.10.82,2,Saint-Denis,08.07.2006
139,3:56.50,Tatyana Pozdnyakova,UKR,04.03.56,3r1,Kyiv,27.07.1982
140,3:56.54,Abeba Aregawi,ETH,05.07.90,1,Roma,31.05.2012
140,3:56.54,Georgia Hunter Bell,GBR,17.10.93,5,Paris,07.07.2024
142,3:56.55,Maryam Yusuf Jamal,BRN,16.09.84,1,Roma,10.07.2009
143,3:56.56,Tatyana Kazankina,RUS,17.12.51,1,Moskva,01.08.1980
143,3:56.56,Freweyni Hailu,ETH,12.02.01,1,Xiamen,02.09.2023
145,3:56.57,Susan Ejore-Sanders,KEN,09.11.95,5s2,Saint-Denis,08.08.2024
146,3:56.60,Abeba Aregawi,SWE,05.07.90,1,Ad-Dawhah,10.05.2013
147,3:56.61,Ciara Mageean,IRL,12.03.92,4,Budapest,22.08.2023
148,3:56.63,Nadezhda Ralldugina,RUS,15.11.57,1,Praha,18.08.1984
148,3:56.63,Ciara Mageean,IRL,12.03.92,1,Bruxelles,02.09.2022
150,3:56.65,Yekaterina Podkopayeva,RUS,11.06.52,1,Rieti,02.09.1984
151,3:56.68,Genzebe Dibaba,ETH,08.02.91,1,Chorzów,08.06.2018
152,3:56.69+,Sifan Hassan,NED,01.01.93,1,Bruxelles,03.09.2021
152,3:56.69,Agathe Guillemot,FRA,11.07.99,6s2,Saint-Denis,08.08.2024
154,3:56.7,Lyubov Smolka,UKR,29.11.52,2,Moskva,06.07.1980
154,3:56.7,Doina Melinte,ROU,27.12.56,1,Bucuresti,12.07.1986
156,3:56.72,Faith Kipyegon,KEN,10.01.94,2,Saint-Denis,27.08.2016
156,3:56.72,Katie Snowden,GBR,09.03.94,5s2,Budapest,20.08.2023
156,3:56.72,Nelly Chepchirchir,KEN,04.06.03,2,Xiamen,02.09.2023
159,3:56.73,Laura Muir,GBR,09.05.93,2,Roma,06.06.2019
160,3:56.74,Yelena Soboleva,RUS,03.10.82,1,Athínai,03.07.2006
161,3:56.75,Sinclaire Johnson,USA,13.04.98,4,Eugene,30.06.2024
162,3:56.77+,Svetlana Masterkova,RUS,17.01.68,1,Zürich,14.08.1996
163,3:56.79,Maryam Yusuf Jamal,BRN,16.09.84,1,Rieti,28.08.2005
163,3:56.79,Birke Haylom,ETH,06.01.06,7,Chorzów,16.08.2025
165,3:56.8,Nadezhda Olizarenko,UKR,28.11.53,3,Moskva,06.07.1980
165,3:56.80,Faith Kipyegon,KEN,10.01.94,1s1,Tokyo,04.08.2021
167,3:56.82,Faith Kipyegon,KEN,10.01.94,1,Shanghai,14.05.2016
168,3:56.86,Laura Muir,GBR,09.05.93,2,Bruxelles,02.09.2022
169,3:56.9,Zamira Zaytseva,UZB,16.02.53,4,Moskva,06.07.1980
170,3:56.91,Lyudmila Rogachova,RUS,30.10.66,2,Barcelona,08.08.1992
170,3:56.91,Tatyana Tomashova,RUS,01.07.75,1,Göteborg,13.08.2006
170,3:56.91,Diribe Welteji,ETH,13.05.02,1,Chorzów,06.08.2022
173,3:56.92,Linden Hall,AUS,20.06.91,5,Eugene,16.09.2023
174,3:56.93,Nelly Chepchirchir,KEN,04.06.03,3,Bruxelles,08.09.2023
174,3:56.93,Sinclaire Johnson,USA,13.04.98,5,Eugene,05.07.2025
176,3:56.94,Freweyni Hailu,ETH,12.02.01,3,Bruxelles,02.09.2022
177,3:56.97,Gabriela Szabo,ROU,14.11.75,1,Monaco,08.08.1998
178,3:56.98,Faith Kipyegon,KEN,10.01.94,2,Ad-Dawhah,10.05.2013
178,3:56.98,Birke Haylom,ETH,06.01.06,6,Eugene,16.09.2023
180,3:56.99,Jessica Hull,AUS,22.10.96,3,Bruxelles,14.09.2024
180,3:56.99,Nelly Chepchirchir,KEN,04.06.03,1,Zürich,28.08.2025
182,3:57.00,Sifan Hassan,NED,01.01.93,1,Saint-Denis,05.07.2014
182,3:57.00,Worknesh Mesele,ETH,10.06.01,4,Chorzów,16.07.2023
184,3:57.02,Nelly Chepchirchir,KEN,04.06.03,1,Paris,20.06.2025
184,3:57.02,Jessica Hull,AUS,22.10.96,2,Zürich,28.08.2025
186,3:57.03,Liu Jing,CHN,03.02.71,6h2,Shanghai,17.10.1997
187,3:57.04,Faith Kipyegon,KEN,10.01.94,1,Bruxelles,01.09.2017
188,3:57.05,Svetlana Guskova,MDA,19.08.59,4r1,Kyiv,27.07.1982
188,3:57.05,Helen Obiri,KEN,13.12.89,1,Eugene,31.05.2014
190,3:57.08,Qu Yunxia,CHN,25.12.72,3,Barcelona,08.08.1992
190,3:57.08,Sifan Hassan,NED,01.01.93,1,Zürich,29.08.2019
190,3:57.08,Diribe Welteji,ETH,13.05.02,1,Chorzów,25.08.2024
190,3:57.08,Dominique Hiltz,USA,23.10.94,5,Tokyo,16.09.2025
