study_hours,sleep_hours,screen_time,attendance,exam_score
3.2,6.3,6.6,66,73
4.9,6.5,7.1,69,76
1.7,8.7,2.3,64,61
5.5,6.2,9.4,77,74
4.4,7.7,3.8,61,76
1.2,7.7,5.1,62,60
1.4,7.6,3.9,57,64
9.9,7.9,1.8,80,100
7.1,6.8,3.5,88,100
4.8,7.6,4.1,80,76
6.6,7.0,6.1,69,88
3.1,9.3,2.1,62,64
3.4,5.2,8.9,58,73
1.2,8.1,3.1,50,55
1.0,6.7,5.7,50,58
8.2,6.4,4.3,86,89
8.2,7.5,4.4,70,100
0.5,5.4,8.8,45,56
3.6,5.1,8.6,69,75
1.3,7.2,6.4,54,60
4.9,7.4,3.7,81,83
6.4,8.2,2.7,68,81
5.7,6.9,5.2,69,80
1.8,7.7,2.9,54,70
7.2,6.8,5.5,59,77
6.3,8.6,2.1,78,88
4.9,8.2,1.6,76,87
3.3,6.1,5.8,73,76
9.2,8.0,4.6,83,100
1.3,5.4,9.5,64,60
1.9,6.9,4.5,60,70
4.1,6.7,5.8,67,73
3.0,6.6,4.6,58,68
6.4,5.9,7.7,74,76
7.1,7.6,4.5,70,91
7.2,6.9,3.6,83,89
7.9,7.4,5.2,75,93
2.2,6.2,7.9,54,52
7.6,6.7,5.7,78,85
2.8,6.3,6.9,64,67
5.6,6.4,6.3,59,73
2.6,7.6,3.4,55,70
8.2,6.2,5.4,77,100
1.5,7.9,4.6,63,64
4.6,5.6,7.9,74,78
