business_date,line_name,day_of_week,day_type,financial_year,total_boardings
2018-07-01,Alamein,Sunday,Sunday,2018-19,1680
2018-07-02,Alamein,Monday,School Holiday,2018-19,17570
2018-07-03,Alamein,Tuesday,School Holiday,2018-19,18740
2018-07-04,Alamein,Wednesday,School Holiday,2018-19,18900
2018-07-05,Alamein,Thursday,School Holiday,2018-19,17270
2018-07-06,Alamein,Friday,School Holiday,2018-19,19610
2018-07-07,Alamein,Saturday,Saturday,2018-19,1230
2018-07-08,Alamein,Sunday,Sunday,2018-19,1670
2018-07-09,Alamein,Monday,School Holiday,2018-19,17760
2018-07-10,Alamein,Tuesday,School Holiday,2018-19,19330
2018-07-11,Alamein,Wednesday,School Holiday,2018-19,18430
2018-07-12,Alamein,Thursday,School Holiday,2018-19,18370
2018-07-13,Alamein,Friday,School Holiday,2018-19,18100
2018-07-14,Alamein,Saturday,Saturday,2018-19,1230
2018-07-15,Alamein,Sunday,Sunday,2018-19,930
2018-07-16,Alamein,Monday,Normal Weekday,2018-19,20170
2018-07-17,Alamein,Tuesday,Normal Weekday,2018-19,22690
2018-07-18,Alamein,Wednesday,Normal Weekday,2018-19,22300
2018-07-19,Alamein,Thursday,Normal Weekday,2018-19,21470
2018-07-20,Alamein,Friday,Normal Weekday,2018-19,21400
2018-07-21,Alamein,Saturday,Saturday,2018-19,1890
2018-07-22,Alamein,Sunday,Sunday,2018-19,1640
2018-07-23,Alamein,Monday,Normal Weekday,2018-19,21100
2018-07-24,Alamein,Tuesday,Normal Weekday,2018-19,21570
2018-07-25,Alamein,Wednesday,Normal Weekday,2018-19,22460
2018-07-26,Alamein,Thursday,Normal Weekday,2018-19,21840
2018-07-27,Alamein,Friday,Normal Weekday,2018-19,21100
2018-07-28,Alamein,Saturday,Saturday,2018-19,3420
2018-07-29,Alamein,Sunday,Sunday,2018-19,1590
2018-07-30,Alamein,Monday,Normal Weekday,2018-19,22740
2018-07-31,Alamein,Tuesday,Normal Weekday,2018-19,23970
2018-08-01,Alamein,Wednesday,Normal Weekday,2018-19,23280
2018-08-02,Alamein,Thursday,Normal Weekday,2018-19,24920
2018-08-03,Alamein,Friday,Normal Weekday,2018-19,23420
2018-08-04,Alamein,Saturday,Saturday,2018-19,2160
2018-08-05,Alamein,Sunday,Sunday,2018-19,1530
2018-08-06,Alamein,Monday,Normal Weekday,2018-19,23570
2018-08-07,Alamein,Tuesday,Normal Weekday,2018-19,23720
2018-08-08,Alamein,Wednesday,Normal Weekday,2018-19,24210
2018-08-09,Alamein,Thursday,Normal Weekday,2018-19,22050
2018-08-10,Alamein,Friday,Normal Weekday,2018-19,22870
2018-08-11,Alamein,Saturday,Saturday,2018-19,2680
2018-08-12,Alamein,Sunday,Sunday,2018-19,2660
2018-08-13,Alamein,Monday,Normal Weekday,2018-19,21850
2018-08-14,Alamein,Tuesday,Normal Weekday,2018-19,24180
2018-08-15,Alamein,Wednesday,Normal Weekday,2018-19,23560
2018-08-16,Alamein,Thursday,Normal Weekday,2018-19,22040
2018-08-17,Alamein,Friday,Normal Weekday,2018-19,23230
2018-08-18,Alamein,Saturday,Saturday,2018-19,1580
2018-08-19,Alamein,Sunday,Sunday,2018-19,1130
2018-08-20,Alamein,Monday,Normal Weekday,2018-19,21870
2018-08-21,Alamein,Tuesday,Normal Weekday,2018-19,23460
2018-08-22,Alamein,Wednesday,Normal Weekday,2018-19,23970
2018-08-23,Alamein,Thursday,Normal Weekday,2018-19,24530
2018-08-24,Alamein,Friday,Normal Weekday,2018-19,20530
2018-08-25,Alamein,Saturday,Saturday,2018-19,1960
2018-08-26,Alamein,Sunday,Sunday,2018-19,1550
2018-08-27,Alamein,Monday,Normal Weekday,2018-19,23200
2018-08-28,Alamein,Tuesday,Normal Weekday,2018-19,21540
2018-08-29,Alamein,Wednesday,Normal Weekday,2018-19,23080
2018-08-30,Alamein,Thursday,Normal Weekday,2018-19,22270
2018-08-31,Alamein,Friday,Normal Weekday,2018-19,21980
2018-09-01,Alamein,Saturday,Saturday,2018-19,1380
2018-09-02,Alamein,Sunday,Sunday,2018-19,850
2018-09-03,Alamein,Monday,Normal Weekday,2018-19,21320
2018-09-04,Alamein,Tuesday,Normal Weekday,2018-19,24550
2018-09-05,Alamein,Wednesday,Normal Weekday,2018-19,21650
2018-09-06,Alamein,Thursday,Normal Weekday,2018-19,24410
2018-09-07,Alamein,Friday,Normal Weekday,2018-19,23790
2018-09-08,Alamein,Saturday,Saturday,2018-19,1660
2018-09-09,Alamein,Sunday,Sunday,2018-19,940
2018-09-10,Alamein,Monday,Normal Weekday,2018-19,21660
2018-09-11,Alamein,Tuesday,Normal Weekday,2018-19,21910
2018-09-12,Alamein,Wednesday,Normal Weekday,2018-19,22620
2018-09-13,Alamein,Thursday,Normal Weekday,2018-19,22020
2018-09-14,Alamein,Friday,Normal Weekday,2018-19,22250
2018-09-15,Alamein,Saturday,Saturday,2018-19,1530
2018-09-16,Alamein,Sunday,Sunday,2018-19,1120
2018-09-17,Alamein,Monday,Normal Weekday,2018-19,21320
2018-09-18,Alamein,Tuesday,Normal Weekday,2018-19,22080
2018-09-19,Alamein,Wednesday,Normal Weekday,2018-19,22270
2018-09-20,Alamein,Thursday,Normal Weekday,2018-19,22400
2018-09-21,Alamein,Friday,Normal Weekday,2018-19,22480
2018-09-22,Alamein,Saturday,Saturday,2018-19,1500
2018-09-23,Alamein,Sunday,Sunday,2018-19,1220
2018-09-24,Alamein,Monday,School Holiday,2018-19,21090
2018-09-25,Alamein,Tuesday,School Holiday,2018-19,20720
2018-09-26,Alamein,Wednesday,School Holiday,2018-19,20420
2018-09-27,Alamein,Thursday,School Holiday,2018-19,21340
2018-09-28,Alamein,Friday,Public Holiday,2018-19,1590
2018-09-29,Alamein,Saturday,Saturday,2018-19,2020
2018-09-30,Alamein,Sunday,Sunday,2018-19,1040
2018-10-01,Alamein,Monday,School Holiday,2018-19,19780
2018-10-02,Alamein,Tuesday,School Holiday,2018-19,19820
2018-10-03,Alamein,Wednesday,School Holiday,2018-19,21310
2018-10-04,Alamein,Thursday,School Holiday,2018-19,21650
2018-10-05,Alamein,Friday,School Holiday,2018-19,20040
